Name,Membership,Category,Description,Address,City,Province,telp1,telp2,telp3,telp4,telp5,telp6,telp7
PT HASTA KARYA TEKNIK,"
                                    PREMIUM GOLD
                                ",Kargo & Logistik,"
              Kami bergerak di bidang Electrical, Mechanical dan Fabrikasi untuk kebutuhan industri. Bidang electrical meliputi Pembuatan panel distribusi, repair electrical part sampai dengan pembuatan sistem automation menggunakan plc dan HMI. Bidang Mechanical meliputi overhoul dan trouble shooting mesin industri seperti, milling cnc , bubut cnc, injection moulding, die casting dll. Maker mesin seperti Fanuc, moriseiki, takizawa, takamaz, okuma howa, enshu, toshiba, niigata, jsw, nissei , hitachi seiki dllJasa Pembuatan Spray Booth, Backing Oven, Conveyor, Maskig Jig Painting.            ","
              Jalan Raya Selang Jati No 56 RT 03 RW 03 Kampung Selang Jati Desa Wanajaya Kecamatan Cibitung Kabupaten Bekasi Jawa Barat Indonesia            ",Bekasi,Jawa Barat,+62 813-1580-2088,None,None,,,,
"DUA PUTRA PETIR, CV Telp. 0859-9805-8351 , 0898-3518-351 , 0821-3355-5559 , 0813-1845-5559","
PREMIUM RUBY
",Kargo & Logistik,"
BISMILLAHIRROHMANIRROHIIM....CV. DUA PUTRA PETIR (Your Steel Partner) Distributor berbagai Merek Polycarbonate bergaransi 5-10 tahun yang dilengkapi Double Side UV Protected, diantaranya :1. Solar Flat Clear / Colour Plain / Embosed.2. Solar Tuff Roma / Greeca.3. X TUFF Roma dan Greeca (Colour / Clear).4. X Lite.5. SOLITE.6. Twinlite.7. Lexan.8. POLYBOARD.9. Sealent Neutral (Lem PolyCarbonate).10. Sealent Acetic (Lem PolyCarbonate).11. JASA PEMBUATAN CANOPY / PAGAR Sesuai Permintaan.HARGA DIJAMIN MURAH Untuk Info Lebih Lanjut Menghubungi,Demikian Penawaran dari kami, besar harapan kami untuk bisa bekerjasama dengan Anda dengan memberikan pelayanan yang terbaik penjelasan ringkas. Kami juga Bergerak dibidang trading Besi dan Baja dan alat-alat teknik, memiliki pengalaman yang mumpuni lebih dari 10 Tahun, link dan akses bisnis yang luas menjadikan kami harus terus berinovasi, salah satu melalui Bisnis Online seperti ini adapun produk-produk unggulan kami adalah :1. Carbon Steel Bars (Besi / Galvanis / Stainless Steel)• Besi Beton Polos (Plain Bars) • Besi Beton Ulir (Deformed Bars) • Besi As (Round Bars) Eq St. 41 • Besi As (Round Bars) Eq St. 60, St. 70, St. 90 • As Besi Segi Empat (Square Bars / Vierkan) • As Besi Segi Enam (Hexagonal Bars) (Besi / Galvanis / Stainless Steel) • Silver Steel-Hollow Bars-Tool Steel • Strep Besi (Flat Bars) • Band Eyzer (Strapping band Plates).2. Carbon Steel Pipes (Besi / Galvanis / Stainless Steel)• Pipa Baja Hitam (Black Steel Pipes) • Pipa Air / Galvanis (Galvanized Pipes) • Pipa Seamless (Seamless Pipes) ASTM A 53 / A 106 / API 5 L • Pipa Pancang (ERW Pipes) ASTM A 252 • Pipa Konstruksi STK-400 (Besi / Galvanis / Stainless Steel) • Pipa Perabot (Stalbuist Pipes) • Pipa Kotak (Rectangular & Square Pipes).3. Carbon Steel Plates (Besi / Galvanis / Stainless Steel)• Plat Besi Hitam (Hot Rolled Coil / Sheet) JIS SPHC / JIS SS400 / ASTM A36 • Plat Kapal (Ship Building Plate BKI) • Plat Besi Putih (Cold Rolled Coil / Sheet) JIS SPCC • Plat Bordes (Checkered Plate) • Plat Lubang (Perforated Plate) • Plat Tahan Gesek (Wear-Resistance Plate) • Plat Galvanil (Galvaneal) • Plat Galvanis (Galvanized) • Expanded Metal.4. Carbon Steel Profiles (Besi / Galvanis / Stainless Steel)• Siku Besi (Angle Bars) • Kanal UNP (U-Channel) • Kanal CNP (Lip-Channel) • (Besi / Galvanis / Stainless Steel) • H-Beam I-Beam WF-Beam (Besi / Galvanis / Stainless Steel) • Honey Comb • Plate Grating Galvanis • Kawat Bronjong • Plat Galvanis • Siku Galvanis • Gabion • Kawat Bronjong SNI, Straping Band, Plat Timah, dan masih banyak lagi produk-produk kami, segala macam jenis besi dan baja siap membantu bekerjasama dengan semua pelanggan baik dalam kota maupun luar kota atau bahkan luar pulau dan luar negeri. Terimakasih banyak.
 Hormat Kami,Herry Gusmara, S.Sos DirekturHP : 08599.805.8351 (BOS BESI) / 089.8351.8351 (BESI BESI)WA : 082133.555.559 / 081318.455.559 Email : duaputrapetir@gmail.comD/A : Bukit Plama C5/ 33 Citraland Utara SurabayaOur Website :• www.besi123.com• www.besisurabaya.com
• www.duaputrapetir.co.id• www.pusatbajaindonesia.com
• www.tokobangunansurabaya.com• www.jualbesibajasurabaya.indonetwork.co.id ","
              • Head Ofice : Bukit Palma C5/33 Citraland Utara Kec. Pakal Kota Surabaya Barat (Sememi - Benowo)• Phone : 0821-3355-5559 (Call/WhatsApp)            ",SURABAYA,Jawa Timur,+62 821-3355-5559,+62 813-1845-5559,None,,,,
DUA PUTRA PETIR ,"
PREMIUM RUBY
",Kargo & Logistik,"
BISMILLAHIRROHMANIRROHIIM....
 
CV. DUA PUTRA PETIR ( Your Steel Pertner ) Distributor berbagai merek polycarbonate bergaransi 5-10 tahun yang dilengkapi Double Side UV protected 
1. Solar Flat Clear / Colour Plain / Embosed 
2. Solar Tuff Roma / Greeca 
3. X TUFF Roma dan Greeca ( Colour / Clear ) 
4. X Lite 
5. SOLITE 
6. Twinlite 
7. Lexan 
8. POLYBOARD 
9. Sealent Neutral ( Lem PolyCarbonate ) 
10. Sealent Acetic ( Lem PolyCarbonate ) 
11. JASA PEMBUATAN CANOPY / PAGAR Sesuai permintaan 
 
HARGA DIJAMIN MURAH Untuk Info Lebih Lanjut Menghubungi :  
Hp.08599.805.8351 ( BOS BESI ) 
Hp.089.8351.8351   ( BESI BESI )
Email : duaputrapetir@gmail.com 
 
Demikian Penawaran dari kami, besar harapan kami untuk bisa bekerjasama dengan anda dengan memberikan pelayanan yang terbaik penjelasan ringkas Kami juga Bergerak dibidang trading besi dan baja dan alat-alat teknik, memiliki pengalaman yang mumpuni lebih dari 10 tahun, link dan akses bisnis yang luas menjadikan kami harus terus ber inovasi, salah satu melalui bisnis online seperti ini adapun produk-produk unggulan kami adalah :
 
1.Carbon Steel Bars ( besi/ galvanis/ Stainless Steel ) 
• Besi Beton Polos ( Plain Bars) • Besi Beton Ulir ( Deformed Bars) • Besi As ( Round Bars) Eq St.41 • Besi As ( Round Bars) Eq St.60, St.70, St.90 • As Besi Segi Empat ( Square Bars / Vierkan) • As Besi Segi Enam ( Hexagonal Bars) ( besi/ galvanis/ Stainless Steel ) • Silver Steel-Hollow Bars-Tool Steel • Strep Besi ( Flat Bars) • Band Eyzer ( Strapping band Plates) 
 
2. Carbon Steel Pipes ( besi/ galvanis/ Stainless Steel ) 
• Pipa Baja Hitam ( Black Steel Pipes) • Pipa Air / Galvanis ( Galvanized Pipes) • Pipa Seamless ( Seamless Pipes) ASTM A 53 / A 106 / API 5 L • Pipa Pancang ( ERW Pipes) ASTM A 252 • Pipa Konstruksi STK-400 ( besi/ galvanis/ Stainless Steel ) • Pipa Perabot ( Stalbuist Pipes) • Pipa Kotak ( Rectangular & Square Pipes) 
 
3. Carbon Steel Plates ( besi/ galvanis/ Stainless Steel ) 
• Plat Besi Hitam ( Hot Rolled Coil/ Sheet) JIS SPHC/ JIS SS400/ ASTM A36 • Plat Kapal ( Ship Building Plate BKI) • Plat Besi Putih ( Cold Rolled Coil/ Sheet) JIS SPCC • Plat Bordes ( Checkered Plate) • Plat Lubang ( Perforated Plate) • Plat Tahan Gesek ( Wear-Resistance Plate) • Plat Galvanil ( Galvaneal) • Plat Galvanis ( Galvanized) • Expanded Metal 
 
4. Carbon Steel Profiles ( besi/ galvanis/ Stainless Steel ) 
• Siku Besi ( Angle Bars) • Kanal UNP ( U-Channel) • Kanal CNP ( Lip-Channel) ( besi/ galvanis/ Stainless Steel ) • H-Beam I-Beam WF-Beam ( besi/ galvanis/ Stainless Steel ) - Honey Comb - Plate Grating Galvanis -kawat bronjong -plat galvanis -siku galvanis -gabion -kawat bronjong sni , straping band , plat timah , dan masih banyak lagi produk-produk kami, segala macam jenis besi dan baja siap membantu bekerjasama dengan semua pelanggan baik dalam kota maupun luar kota atau bahkan luar pulau dan luar negeri. terimakasih banyak.
 
Hormat Kami
 
Herry Gusmara
Direktur
Telp. : 031-7407380
Fax : 031-7417127 
HP : 0821-33555559 / 08599-8058351
Email : duaputrapetir@gmail.com 
D/A : Bukit Plama C5/ 33 Citraland Utara Surabaya
 
Website :
www.duaputrapetir.co.id
www.besisurabaya.com
www.tokobangunansurabaya.com
www.pusatbajaindonesia.com
www.jualbesibajasurabaya.indonetwork.co.id
www.besi123.com ","
              bukit palma C5/33 Citraland Utara Kec.pakal Kota Surabaya Barat( Sememi Benowo )            ",Surabaya,Jawa Timur,+62 821-3355-5559,+62 813-1845-5559,None,,,,
Jalabuana Mandiri,"
PREMIUM BLUE ONYX
",Kargo & Logistik,"
Jalabuana Mandiri berdiri atas prakarya dan ide besar terhadap sebuah service and solution terhadap semua kebutuhan barang dan jasa khususnya untuk crane construction and mecanical electrical hoisting.
 
Jalabuana Mandiri menyediakan berbagai produk dan service dalam bidang , sebagai beirkut : 
1. Over Head Crane.
2. Hoist Crane.
3. Cargo Lift.
4. Passenger Lift / Elevator
5. Konstruksi baja. 
 
Kami selalu siap sedia Menjadi Mitra dan partner untuk melayani setiap kebutuhan akan produk kami secara cepat tepat dan berkesinambungan, serta mengedapankan service oriented yang menjadi prioritas dan komitmen kepada setiap dan semua coustomer, pelayanan after seles akan memberikan jaminan garansi terhadap produk kami, mengedapankan profesionalitas dan selalu memberikan dan menghadirkan produk produk yang berkualitas.
 
Untuk informasi lebih detail, harap menghubungin : 
 
Jalabuana Mandiri 
CP : 0813 3335 6618 / 031 9917 1407
Pergudangan Legundi Bizpark Blok D11 Legundi, Gresik, Jawa Timur ","
              Pergudangan Legundi Bizpark Blok D-11 Legundi            ",Gresik,Jawa Timur,+62 813-3335-6618,None,None,,,,
PT. Rajawali Trans Logistic,"
                                    PREMIUM GOLD
                                ",Kargo & Logistik,"
PT RAJAWALI TRANS LOGISTICS adalah Perusahaan pengiriman barang domestik swasta yang telah berdiri dan berpengalaman lebih dari 5 tahun. Sebagai penyedia jasa pengiriman barang yang berpengalaman, kami memberikan solusi total rantai pasokan untuk kebutuhan logistik dan manajemen pengiriman (mis. Layanan Door to Door, Pengangkutan, dokumen Pengiriman Barang, dll.)
 
Kami menawarkan semua jenis layanan pengiriman barang di Indonesia, serta transportasi laut internasional. Kami menawarkan solusi transportasi yang disesuaikan dengan kebutuhan dengan harga pasar yang kompetitif. Kepuasan pelanggan adalah prioritas utama kami, kami sangat berkomitmen untuk mencakup seluruh rantai pasokan dengan solusi pengiriman yang dipersonalisasi dan hemat biaya. Kami memastikan bahwa barang Anda sampai di tujuan dengan aman dan dengan harga terbaik. Semuanya diatur oleh tim profesional bermotivasi tinggi dengan latar belakang logistik yang luas. Jadi jika Anda berencana untuk mengekspor atau mengimpor barang dan sedang mencari perusahaan ekspedisi dengan pengalaman dan pengetahuan yang luas tentang peraturan bea cukai di Indonesia, jangan ragu untuk menghubungi kami untuk membantu Anda dalam operasi logistik.
 

TIM KITA
Di PT RAJAWALI TRANS LOGISTICS, kami selalu bekerja dengan hati-hati dalam memilih pribadi yang tepat, berpengalaman, dan sangat terlatih untuk mengelola dan menangani bisnis Anda dengan benar.
 
PENGLIHATAN
Menjadi perusahaan jasa pengiriman dan logistik multinasional di Indonesia.
 
MISI
Membantu pelanggan dalam mengirimkan barang dengan layanan yang sangat baik dan tepat waktu. Dipenuhi dengan tenaga manusia yang andal, transportasi unit tepat waktu, dan harga terjangkau.
 
TAGLINE
“ KEPUASAN PELANGGAN ADALAH HARGA TETAP ”
 
 
JASA
- Door To Door Project Cargo
- Kargo umum
- Wadah
- Kargo Proyek (mis. Minyak & Gas, Infrastruktur, Proyek Pipa, Semen, dll.)
- Heavylifts dan Turnkey Projects
- Izin Kustom
- Shore Crane, Forklift, dan Unit Medis Lainnya
- Bongkar muat
 
PELANGGAN KAMI
- WIJAYA KARYA, TBK.
- WIKA BETON, TBK.
- ADHI KARYA, TBK.
- WASKITA KARYA, TBK.
- ADHIMIX PRECAST INDONESIA
- STEEL PIPE INDUSTRY INDONESIA (SPINDO)
- PETROWOOD BANGUN MANDIRI
- PENGIRIMAN ADITYA ARYAPRAWIRA
- LAYANAN PEROLEUM HUABEI
- DLL
 
HUBUNGI KAMI
- Jln. Perak Barat No. 171 Surabaya
- (031) 3288-7007-10 / 0813-3250-5800
- rajawalilogistic@gmail.com ","
              KANTOR PUSAT (SURABAYA)📍 Jln. Perak Barat No. 171 SurabayaPHONE / WHATSAPP☎️ 0813-3250-5800—            ",SURABAYA,Jawa Timur,+62 813-3250-5800,None,None,,,,
SPON BUSA ABADI,"
                                    PREMIUM GOLD
                                ",Kargo & Logistik,"
              HARGA PABRIK! ! MELAYANI ORDER DARI 1 PCS - RIBUAN PCS ( SEMAKIN BANYAK SEMAKIN MURAH) . DARI KUALITAS YANG PALING EKONOMIS HINGGA KUALITAS YANG PALING BAGUS SUDAH BERPENGALAMAN LEBIH DARI 30 TAHUN MELAYANI DARI INDUSTRI KECIL HINGGA BESAR. MELAYANI KEBUTUHAN EKSPORT ANDA. BAIK DARI SEGI BAHAN BAKU, MAUPUN PRODUK JADI.MEMBUAT KASUR UNTUK KEBUTUHAN PONDOK PESANTREN, MESS PERUSAHAAN, KOS2AN, KASUR UNTUK KAPAL, RUMAH SAKIT, PONDOK PESANTREN, MESS, DLL. MELAYANI PABRIK MEBEL, KEBUTUHAN MATRAS UNTUK SEKOLAH DAN INSTANSI OLAHAGA, HINGGA PROYEK2 KHUSUS SEPERTI SPON UNTUK COBLOSAN PILKADA/ PEMILU, ISI TEMPAT PENSIL, DAN LAIN SEBAGAINYA. ANDA ADA PROYEK ATAU LUBANG YANG SESUAI DENGAN BIDANG KAMI TAPI TIDAK TERTULIS DIATAS? JANGAN RAGU UNTUK MENGHUBUNGI DAN BERDISKUSI DENGAN KAMI. SERAHKAN PADA AHLINYA... SPON BUSA PRODUKSI KAMI :POLYURETHANE SPONGE DARI DENSITY 7-50REBONDED SPONGE R70, R100, R120            ","
              Sepanjang - Sidoarjo            ",sidoarjo,Jawa Timur,,,,,,,
safewaygroup,"
                                    PREMIUM GOLD
                                ",Kargo & Logistik,"
              Safeway memiliki pengalaman 13 tahun dalam bidang produksi palet kayu, hingga saat ini Safeway masih terus mengembangkan fasilitas yang dimiliki agar dapat memenuhi kebutuhan kuantitas dari pelanggan tanpa mengurangi kualitas produk. Pabrik produksi Safeway berada di dekat pusat industri seperti di Karawang, Cibitung, Surabaya, Semarang sehingga memudahkan pengiriman barang kepada pelanggan. Palet dari Safeway memiliki kualitas yang baik. Dalam proses penggerjaannya diawasi oleh staff yang telah berpengalaman dan terlatih. Safeway dilengkapi dengan perlengkapan yang menunjang dalam membuat dan mengirimkan tepat waktu dan sesuai anggaran, semua pesanan kebutuhan anda. Palet kayu Safeway melampaui standard dan memenuhi persyaratan pelayaran international. Komitmen Safeway adalah memberikan layanan terbaik untuk kepuasan pelanggan kami. Safeway menyediakan berbagai macam spesifikasi palet untuk setiap industri, selain palet kayu juga tersedia palet plastik dan palet besi. Safeway juga menyediakan pallet kayu custom yang dapat dipesan untuk memenuhi kebutuhan anda.            ","
              Jalan Raya Margomulyo No. 63A Surabaya             ",Surabaya ,Jawa Timur,None,None,None,,,,
CV. AGRO INDUSTRI SURABAYA ,"
                                    PREMIUM GOLD
                                ",Kargo & Logistik,"
Kami Mulai berkembang dan memulai usaha di Surabaya, perkembangan yang begitu cepat mendesak kami beralih ke Kawasan Industri Gresik, demi kelancaran dan kenyamanan dalam pelayanan terhadap Customer Agro Industri Surabaya. Kawasan Industri Gresik terletak sekitar 60 menit dari Bandara Juanda Surabaya, dan sekitar 20 menit dari pusat Kota Surabaya. Hal ini memudahkan akses Jalur ke Pelabuhan Perak, Stasiun kereta api, maupun jalur antar Propinsi. CV. AGRO INDUSTRI SURABAYA RAHMAT HIDAYAT TELP. 031 3989496 HP. 082129847777 , 082129846666 FAX. 031 3980179 Email. industri20344@ gmail.com 29/08/2017
 
tag:
© 2016 DAFTAR HARGA BESI BAJA MURAH JUAL BESI BAJA BETON ULIR POLOS PLAT BAJA HITAM PLAT KAPAL BAJA WF H BEAM SIKU BAJA BAJA UNP KANAL U SIKU CNP BAJA KANAL C PIPA HITAM MEDIUM SCHEDULE 40 SCHEDULE 80 PIPA BAJA BESI HOLLOW WIREMESH DISTRIBUTOR PABRIK PRODUSEN GROSIR SUPPLIER JUAL HARGA AGEN BESI BAJA 09/03/2017 ","
              KAWASAN INDUSTRI GRESIK JL. KIG Selatan IV, Kav. 11 Randuagung, Gresik, JAWA TIMUR            ",SURABAYA,Jawa Timur,+62 812-9846-666,None,None,,,,
PT. JAYA UTAMA SANTIKAH,"
PREMIUM RUBY
",Kargo & Logistik,"
PT. Jaya Utama Santikah adalah perusahaan Perseroan terbatas yang bergerak dibidang Perdagangan Umum dan Jasa. Perusahaan kami telah berdiri sejak 1997 di Jawa Timur dengan nama CV. Jaya Santikah, dan ditahun 2008 kami telah berkembang menjadi PT. Jaya Utama Santikah dan kami sekarang memiliki kantor di Jakarta.
 
Sesuai dengan moto kami yaitu membantu akan kebutuhan dalam bidang Jasa Perawatan Kebersihan dan Keindahan pada setiap lingkungan yang dibutuhkan. Seperti halnya yang kami tawarkan Jasa Kebersihan Gedung, Jasa Perawatan Taman Jakarta semua hal itu tentunya dibutuhkan sebuah management khusus agar kegiatan yang berjalan sesuai dengan apa yang diharapkan.
 
Dan kami menyadari tidak semua kantor atau gedung memiliki management khusus kebersihan dan perawatan seperti ini, dan pastinya untuk membentuk management ini juga dibutuhkan sumber daya yang profesional dan memahami setiap langkah apa saja yang harus dilakukan. Dan semua tahap itu tentunya membutuhkan proses yang panjang, untuk mempersingkat waktu dan meminimakan pembiayaan dalam memenuhi kebutuhan perawatan kebersihan kami siap membantu Anda dalam jasa penyedia cleaning service, jasa cleaning service terbaik, jasa perawatan taman Jakarta, jasa kebersihan gedung, jasa kurir antar barang dan distributor alat cleaning service sebagai produk perdagangan kami. ","
              Jl. Daan Mogot KM19 Kebon Besar Batuceper, kota Tanggerng,             ",Smart Market Daan Mogot Blok B No. 5,DKI Jakarta,+62 811-1833-992,+62 812-8998-071,None,,,,
Pressti Cargo ( Pressti Asia Indonesia ),"
PREMIUM RUBY
",Kargo & Logistik,"
PRESSTI CARGO - INTERNATIONAL FREIGHT FORWARDER - CUSTOM CLEARANCE  PRESSTI CARGO ( PT. PRESSTI ASIA INDONESIA ) adalah perusahaan yang bergerak di bidang Jasa Import Import Door To Door, Jasa Import borongan, Jasa Import Undername, Jasa Customs clearance, Jasa Ekspedisi, Jasa Freight Forwarding, Jasa PPJK dan Jasa Export-Import.  JASA FREIGHT FORWARDING PRESSTI CARGO ( PT. PRESSTI ASIA INDONESIA ) membantu anda dibidang Freight Forwarding yaitu pengurusan semua pengiriman dan penerimaan barang melalui darat, laut dan udara.  JASA PPJK PRESSTI CARGO ( PT. PRESSTI ASIA INDONESIA ) membantu anda dalam kegiatan pengurusan pemenuhan kewajiban pabean untuk dan atas kuasa importir atau eksportir.  JASA EKSPOR-IMPOR PRESSTI CARGO ( PT. PRESSTI ASIA INDONESIA )membantu anda memberikan layanan Jasa Ekspor Impor untuk mengurusi barang yang akan anda ekspor maupun impor.  JASA CUSTOM CLEARENCE PRESSTI CARGO ( PT. PRESSTI ASIA INDONESIA ) membantu anda dalam pengurusan customs clearance untuk kegiatan export dan import.  JASA IMPORT DOOR TO DOOR PRESSTI CARGO ( PT. PRESSTI ASIA INDONESIA ) melayani import borongan mulai dari menjemput barang dari shipper dan mengantar sampai ketempat tujuan  JASA UNDER NAME PRESTI CARGO ( PT. PRESSTI ASIA INDONESIA ) Membantu perusahaan-perusahaan yang akan melakukan kegiatan import dari berbagai negara dengan cara Import Lisensi / Under Name,bagi perusahaan yang belum memiliki fasilitas izin import 

PT.PRESSTI ASIA INDONESIA MEMBERIKAN PELAYANAN YANG HEMAT ( MURAH ) DAN CEPAT UNTUK EKSPOR DAN IMPOR BARANG SECARA ‘ DOOR TO DOOR’   Kami adalah spesialis dalam pengiriman barang ekspor dan impor dengan layanan ‘ Door to Door Service’. Melalui layanan ini Kami akan mengangkut barang mulai dari pintu sipengirim sampai ke pintu sipenerima barang. Anda dapat memanfaatkan layanan kami dengan harga terjangkau karena kami menawarkan harga yang kompetitif serta dikombinasikan dengan layanan transportasi cepat ke dan dari berbagai negara di dunia.  JASA FREIGHT FORWARDING ( PT. PRESSTI ASIA INDONESIA ) membantu anda dibidang Freight Forwarding yaitu pengurusan semua pengiriman dan penerimaan barang melalui darat, laut dan udara.  JASA PPJK ( PT. PRESSTI ASIA INDONESIA ) membantu anda dalam kegiatan pengurusan pemenuhan kewajiban pabean untuk dan atas kuasa importir atau eksportir.  JASA EKSPOR-IMPOR ( PT. PRESSTI ASIA INDONESIA ) membantu anda memberikan layanan Jasa Ekspor Impor untuk mengurusi barang yang akan anda ekspor maupun impor.  JASA CUSTOM CLEARENCE ( PT. PRESSTI ASIA INDONESIA ) membantu anda dalam pengurusan customs clearance untuk kegiatan export dan import.  JASA IMPORT DOOR TO DOOR ( PT. PRESSTI ASIA INDONESIA ) melayani import borongan mulai dari menjemput barang dari shipper dan mengantar sampai ketempat tujuan  JASA UNDER NAME ( PT. PRESSTI ASIA INDONESIA ) Membantu perusahaan-perusahaan yang akan melakukan kegiatan import dari berbagai negara dengan cara Import Lisensi / Under Name, bagi perusahaan yang belum memiliki fasilitas izin import
INDONESIA
Pressti Cargo Asia
Our operational hourMon - Sat : 08.00 - 17.00 WIB
AddressJl. Raya Lenteng Agung Kav. 22 no. 20Jakarta Selatan 12610Indonesia
Contact numberPhone : (62-21) 7888 6595 (Hunting)(Mobile) Phone : +62 813 1414 4434 - Ardi(Mobile) Phone : +62 812 8806 5657 - Roki(Mobile) Phone : +62 878 7854 5898 - Yuda
Fax(62-21) 7888 6594 
Emailgeneral@pressticargo.com - general@pressticargo.co.id
Websitewww.pressticargo.co.id
 ( PT. PRESSTI ASIA INDONESIA )  JL. RAYA LENTENG AGUNG KAV 22 NO. 20 JAKARTA SELATAN 12610 Telp : ( 021 ) 7888 6595 Faks : ( 021 ) 7888 6594 Website : www.pressticargo.com  Email: general@pressticargo.com  general@pressticargo.co.id  ","
              Jl. Raya Lenteng Agung Kav. 22 No. 20 Jakarta Selatan             ",Jakarta Selatan,DKI Jakarta,+62 812-8050-7675,+62 813-1414-4434,None,,,,
CV ORIZA SATIVA TRANS,"
                                    PREMIUM GOLD
                                ",Kargo & Logistik,"

Jasa Pengiriman Darat, Jasa Pengiriman Laut, Jasa Pengiriman Udara, Jasa Sewa Trucking, Jasa Pengiriman Via Kapal Pelni, Jasa Pengiriman Container Cargo, Jasa door to door servise, Ke seluruh Indonesia dan Free Biaya Pik Up Untuk Area DKI JAKARTA & Sekitarnya.

Hubungi KamiHp. 6287775918975Email : kirimnusantara75@gmail.com ","
              Jalan Outer Ring Road Kamal Pintu Air No.55 Cengkareng Timur Jakarta Barat Kode Pos 11730  Email : info@kirimnusantara.com            ",JAKARTA BARAT,DKI Jakarta,+62 877-7591-8975,None,None,,,,
JXH CARGO EXPRESS,"
                                    PREMIUM GOLD
                                ",Kargo & Logistik,"
              JXH Cargo Express bergerak di Bidang Jasa Pengiriman Import Borongan Cargo Door To Door Service BY SEA (Laut) LCL & FCL  & BY AIR (Udara) from China, Singapore, HK, TW, Bangkok, Korea, USA dll.Sebagai pendukung kerja yang profesional dan bertanggung jawab kepada pelanggan kami memiliki team kerja yang sudah berpengalaman, Fasilitas gudang yang memadai dan system komunikasi ONLINE. Kami Melayani Jasa Import Borongan Pengiriman barang dengan Harga all in BY SEA FCL, LCL & BY AIR & Kami juga melayani RESMI & UNDERNAME.OUR SERVICES :                          Custom Import # Bill of Loading, Ocean Freight # Loading Container di -                         Pabrik # Pick Up Barang # Warehouse, Trucking # Penitipan Transfer RMB /                         Payment # Pengurusan Tax Refunds, Form E, LS Surveyor, dll.            Untuk informasi selanjut nya silahkan Hub Marketing kami masing-masing.            ","
              Taman Palem Lestari B 3 No.33, Cengkareng, Jakarta Barat             ",Jakarta,DKI Jakarta,+62 813-9922-8882,+62 822-9845-7590,+62 881-1107-181,,,,
PT. Centranusa Pasific Indokargo ( JAKARTA PONTIANAK),"
                                    PREMIUM GOLD
                                ",Kargo & Logistik,"
              JASA PENGIRIMAN BARANG JAKARTA - PONTIANAK ( KAPAL CEPAT) PT. Centranusa Pasific Indokargo adalah Perusahaan jasa pengiriman barang via laut dengan Layanan Port to Port, Port to Door ( Request) . Jasa layanan CPINDOKARGO adalah sebagai berikut :~ Domestik Service: Jasa pengiriman barang / kirim barang / kargo/ cargo laut / paket kilat. Berdasarkan geografis wilayah Indonesia yang terdiri dari kepulauan, kami memberikan alternative layanan pengiriman barang, yaitu Sea Freight - Jasa pengiriman barang domestik melalui laut dengan kapal cepat sendiri.~ Jasa Ekspedisi Laut luar pulau / antar kota lintas pulau / antar kota lintas propinsi, ekspedisi muatan kapal laut-emkl, kapal cepat, kapal cargo, kapal barang, kapal cepat, ekspedisi laut, ekspedisi muatan kapal laut.PT. Centranusa Pasific adalah sebuah perusahaan swasta yang berdiri di Kalimantan Barat pada tahun 2004 dan bergerak dibidang jasa pengiriman barang diseluruh wilayah Indonesia, khususnya pada daerah Kalimantan barat. Adapun yang melatar belakangi berdirinya perusahaan ini adalah ingin turut mendukung perkembangan serta pertumbuhan perekonomian di Indonesia khususnya dalam mendistribusikan barang-barang kebutuhan masyarakat serta kebutuhan Industri secara Fast, Accurate, Safe and Trustworthy sesuai dengan motto perusahaan kami. Kemudian seiring perkembangan serta tingginya permintaan dari customer- customer kami, untuk itu kami dapat membantu mendistribusikan barang-barang sampai dengan baik ke alamat penerima yang di tuju maka kami menyediakan media pendukung seperti armada sendiri dan tenaga ahli yang professional dalam pengiriman barang. Hal itu bertujuan untuk mempermudah mencapai sasaran dan tujuan pelanggan yang ditentukan dan menyediakan armada laut sendiri untuk mempercepat tempuh jarak pengiriman barang milik pelanggan. Perusahaan tersebut memiliki 3 armada juga seperti Kapal kargo Express 1, Kapal kargo Express 2 dan Kapal kargo 88. Rute baru kami akan segera dibuka untuk kota Banjarmasin, Surabaya dan Palembang, hal ini hanya untuk memberikan pelayanan yang terbaik, kemudahan pelanggan serta kepuasan pelanggan dalam pengiriman barang. Berbagai Macam Jenis Barang / Paket Yang Siap Kami Kirimkan Untuk Membantu Anda Atau Usaha Anda Antara Lain :- Dokumen- Pakaian-Tupperware- Segala bentuk Sparepart- Mesin- Konveksi- Percetakan- Besi- Pompa- Alat Listrik- Alat Elektronik- Alat Komputer, aksesoris Komputer dan Tinta Komputer- Alat Berat- Alat Kesehatan- Alat Rumah Tangga- Alat Safety- Motor dan Sparepart Motor- Sparepart Mobil- Makanan Kering- Material Advertising- Biji Plastik ( Specialist)- Dan Lain Lain.Harga terbaik dengan pelayanan terbaik ( Harga Termurah Khusus Pontianak dan Kalimantan Barat ) Promo Harga Undian Setiap Harinya untuk konfirmasi harga terbaik silahkan hubungi kami di 021 6591108 atau 087888676657. dan datang ke gudang kami.            ","
              Jl. Mangga Besar 1 no 61 e            ","Taman sari, Jakarta barat",DKI Jakarta,+62 813-1821-6135,+62 812-8228-8203,+62 878-7853-0177,+62 813-1883-1578,None,None,None
